Messstelle:                ;Sillian, Bl 25 (GW7)
HZB-Nummer:                ;371682
HD-Nummer:                 ;
DBMS-Nummer:               ;7005058
Fremdnummer:               ;GW70728086
PorenGW-Gebiet:            ;404 Pustertal
Grundwasserkörper:         ;Gruppe Zentralzone [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Gemeinde Sillian
Höhenangaben [m ü.A.]:     ;gültig seit: ;11.06.2018
 Geländehöhe:              ;1079,12
 Messpunkthöhe:            ;1080,02
 Sohllage:                 ;1060,02
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  11.06.2018               ;12 25 26                 ;46 44 48
Exportzeitreihe:           ;GWS,M,Max,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.05.2021 04:00:00   ;  1077,85 ;     
